                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.58124,                 1.0167,                0.46591,                 1.0803,                0.94273,                0.91304,                 0.9704,                0.65713,                 0.9538,                0.71739,                0.76055,                0.50404,                 1.0925,                 2.1596,                0.76662,                 1.7387,              0.0006338,              0.0006338,              0.0006338
                     71,                0.58702,                 1.0129,                0.47109,                  1.075,                0.87444,                0.90847,                0.92546,                0.66644,                0.87737,                0.78261,                0.78668,                0.49202,                 1.0819,                  1.947,                0.75827,                 1.6547,               0.000614,               0.000614,               0.000614
                     72,                0.57123,                 1.0076,                0.46379,                 1.0794,                0.93377,                0.86957,                0.94354,                0.65267,                 0.8886,                0.78261,                0.78823,                 0.4691,                 1.1218,                 2.2306,                0.72135,                  1.777,              0.0005942,              0.0005942,              0.0005942
                     73,                0.57102,                0.99188,                 0.4698,                 1.0716,                0.93417,                0.92564,                0.96036,                0.65099,                0.85482,                0.78261,                 0.7872,                0.49249,                 1.1433,                 2.3592,                0.74815,                 1.8497,              0.0005744,              0.0005744,              0.0005744
                     74,                0.55652,                0.98919,                0.45444,                 1.0684,                0.97378,                0.95652,                0.96893,                0.69657,                 0.9041,                0.81987,                0.80197,                0.53891,                0.98433,                 2.3039,                0.61925,                 1.6847,              0.0005546,              0.0005546,              0.0005546
                     75,                0.56854,                0.98081,                 0.4546,                 1.0705,                0.95619,                0.94915,                0.96166,                0.70855,                0.86549,                0.83939,                0.83239,                 0.5351,                0.97508,                 1.9661,                0.66717,                 1.6169,              0.0005348,              0.0005348,              0.0005348
                     76,                0.57147,                 1.0362,                0.45601,                 1.0709,                0.87528,                0.93478,                0.94752,                0.70064,                0.87465,                0.78261,                 0.8169,                0.52822,                0.93279,                 2.0457,                0.68047,                 1.6114,               0.000515,               0.000515,               0.000515
                     77,                0.58588,                 1.0174,                0.46341,                 1.0713,                0.91656,                 0.9552,                0.94963,                0.66438,                0.80571,                0.82609,                 0.8162,                0.54528,                0.94962,                 1.8177,                0.67814,                 1.6007,              0.0004952,              0.0004952,              0.0004952
                     78,                0.55064,                 1.0116,                0.45488,                 1.0589,                0.89681,                0.94479,                0.94928,                 0.6683,                0.87616,                0.80435,                0.82129,                0.54128,                0.96354,                 2.0444,                0.72291,                 1.6431,              0.0004754,              0.0004754,              0.0004754
                     79,                0.55716,                 0.9878,                 0.4412,                 1.0607,                0.83233,                0.97135,                 0.9389,                0.65457,                0.89015,                0.71739,                 0.7462,                 0.5173,                0.98803,                 2.9474,                0.73581,                  1.708,              0.0004556,              0.0004556,              0.0004556
